Config:
grid_dim: 100
num_steps: 1000
wolf_prob: 0.003000
rabbit_prob: 0.030000
grass_prob: 0.100000
gif_file: (null)

Step,Rabbits,Wolfs,Grass
948,266,3,7282
949,270,3,7181
950,276,3,7085
951,286,4,6997
952,292,4,6889
953,302,5,6771
954,303,5,6671
955,309,5,6567
956,317,5,6458
957,326,5,6349
958,330,5,6253
959,326,5,6155
960,332,5,6046
961,336,6,5926
962,350,6,5812
963,366,6,5684
964,360,6,5565
965,361,6,5450
966,377,6,5321
967,386,6,5182
968,396,7,5063
969,404,7,4940
970,403,7,4824
971,414,8,4729
972,419,8,4619
973,426,9,4511
974,423,9,4410
975,417,9,4306
976,416,9,4188
977,425,9,4084
978,433,9,3987
979,428,9,3902
980,426,9,3827
981,431,10,3743
982,428,13,3641
983,431,13,3553
984,426,14,3496
985,413,14,3446
986,416,14,3378
987,412,14,3326
988,408,14,3257
989,400,16,3180
990,389,16,3102
991,390,16,3050
992,388,17,2978
993,387,17,2908
994,379,17,2842
995,376,17,2781
996,379,17,2733
997,381,18,2680
998,376,18,2632
999,369,18,2588
1000,358,19,2550
